B28D	G01S	-2.5587330634e-07
H01L	H01S	0.000843706972609
F03B	F16G	-8.95183291393e-08
A47L	B06B	-2.07415935331e-07
B62K	F02F	6.56215730239e-07
D21H	Y02E	-8.79848916031e-06
B04C	F26B	2.09680168705e-06
A47B	B32B	-2.74311156103e-06
B42F	E06B	6.09220280133e-09
A62C	F41J	4.83778500241e-08
A47C	F24D	-4.53885890668e-08
D06H	D10B	1.17122261988e-05
A41H	C08L	-5.65978311085e-07
F16B	G05B	-3.37257103257e-06
G01S	G07G	6.74820829376e-06
H01F	Y10S	-1.54020706608e-05
B65C	G02F	-3.89481991822e-07
B29K	E06C	-3.83890615829e-07
B63B	C08G	-1.78769545407e-06
B65D	H01B	-4.54971223599e-06
B29L	C05F	-8.49221413128e-07
B21D	F25J	4.26285341328e-07
A23C	A61F	-9.66721863337e-07
B62L	B66F	9.5073176466e-09
G02F	H01P	2.28906797031e-07
A61M	G08C	1.04662457757e-06
G01K	G02F	-4.81707978639e-07
B05D	B63B	-9.8387234774e-07
C11D	G21F	6.48447106525e-07
A01K	G07F	-1.30560506814e-06
B64D	H01H	-1.23859474992e-06
B41M	G09F	5.66848000666e-05
G05B	H03F	-1.02429959585e-06
B64C	F05B	2.25049720333e-05
A45D	D21H	-4.05801955837e-07
C07H	F02B	-2.30113305589e-06
F21S	G10D	-1.1370437683e-07
A47L	F17D	-1.07445620791e-07
F01D	G01K	5.02633456182e-06
C09D	F17C	-9.53624903719e-07
A47C	E05D	6.1969102274e-07
B25J	G01L	2.82878294498e-05
A01K	F41C	2.91775647755e-06
A23L	C07H	3.69499940859e-05
A61L	D06M	4.82452986524e-05
A61J	H04R	-7.26076161682e-07
F02F	G01N	-3.21137045896e-06
B21D	B23G	2.90870035468e-06
B64D	B65G	5.7129801066e-06
F16P	F25B	-1.34232831954e-07
B64F	F02B	-6.32934808371e-07
A24F	F21V	-1.68872245475e-07
B67D	F04F	3.68708829086e-06
B07B	C30B	-1.72225858462e-07
G01P	G05D	6.40282374554e-06
C08J	C10M	-5.04579614047e-07
F26B	G21Y	-1.1674326124e-07
B23C	F41G	-6.5845393274e-08
B06B	B62K	-1.4556958426e-07
A61B	F15B	-3.8164178057e-06
G08G	Y02B	-5.55228892582e-06
G01D	G10L	-9.77350482625e-07
C06C	F42C	4.581814758e-05
E05D	F42B	-4.05650878159e-07
G06G	G21K	-3.80328576421e-08
B23D	F28G	-4.76541472159e-08
B23F	F16B	-1.06995066007e-07
B41K	B43L	4.50492708408e-07
B07C	F22B	-6.64451069542e-09
B29D	C23G	-2.19374171207e-07
B31F	D06M	-1.84403809151e-07
F04B	F16C	3.14570564904e-05
A61F	G06M	-1.56977176749e-07
B23F	B24D	3.98175757888e-06
A61N	G05G	-5.09663660807e-07
F22B	H05B	5.25925346998e-06
B25B	F16D	5.29983163959e-05
B60T	G01K	-3.43636421786e-07
B06B	C08G	-3.34518922143e-07
A47L	F05D	-1.2589794656e-06
B03C	B66C	-1.03379294276e-07
B23Q	E03B	-1.5768666671e-07
B30B	D01G	-7.68373148963e-09
D06N	H01B	4.96790467745e-07
B21B	F16N	3.13740182428e-06
B23C	B41F	-1.2076190193e-07
B63J	F04F	5.17625804438e-07
A61B	C12Q	1.98271003206e-06
A45B	E01H	1.93379647296e-06
B27B	D04C	1.02136632388e-07
B01D	B26D	-3.36624617019e-06
A23D	H04N	-3.79810505351e-07
C08B	C12F	4.343909494e-07
B60P	G03B	-2.74975461499e-07
E03B	F24H	4.03967526717e-07
B01L	B60H	-2.75637183779e-07
B60R	H01C	-1.03463505107e-06
B29B	C01G	-8.34118710556e-07
F02D	G05G	8.97526546497e-06
B60K	B64D	-1.61187060656e-06
E21F	H01L	-2.84474480009e-07
B60C	H03H	-6.00420354527e-07
A01D	F28C	-5.73498598929e-09
B05C	B21G	1.83508767432e-07
B64F	G10K	4.28574700594e-07
G01S	G10G	-1.40627793167e-07
G06G	G07B	-7.60776119554e-09
A01H	B09C	3.84293197499e-06
B27B	B29C	-1.38215472435e-06
F02B	H04L	-5.86048565567e-06
A41D	D04D	1.86754883146e-06
C30B	G11B	-4.15269359999e-06
A61K	G01T	-2.27330169813e-06
A61K	C05G	-1.84469315397e-06
G04D	H03K	9.07461562773e-07
B25J	B63B	5.8806948863e-07
E05B	H02B	6.87831478871e-06
B21D	C03B	-7.65494077532e-07
A61B	D05B	-1.16282707997e-06
A45D	B05D	1.84345254322e-07
C09B	F15B	-2.5248093633e-07
C01F	C12N	-1.43883925504e-06
A01M	E01D	1.13656155159e-07
G01W	G06K	1.40556850916e-06
G10C	H01H	1.29531302042e-06
F23N	G06K	-3.16995283953e-07
H02G	H05B	-6.71191180146e-07
A23N	B04B	1.69894622388e-06
F41J	G06N	5.07204906824e-08
