B62	D07	8.34760056411e-08
B05	G04	1.87284320568e-06
A42	E21	0.0
C08	D10	5.02181977025e-06
B03	D02	2.11552471735e-09
C09	G03	1.23812395378e-05
C01	C02	1.90548695014e-06
B24	H03	2.35131969496e-07
G04	H01	3.99200748503e-06
B29	H02	2.231997318e-07
C04	G08	3.11051794391e-08
A41	D06	9.47933840514e-07
A01	C03	7.67620355755e-08
C06	C40	3.33229876647e-07
C14	D01	1.51169302474e-08
A63	F16	4.30945790237e-07
B67	C07	1.56837547356e-07
D01	E05	8.94802947684e-08
B02	B25	3.9372063521e-07
C09	F05	7.24752866166e-07
B62	G06	3.85995672948e-06
E02	G06	4.54085958109e-06
E02	F23	3.86650012457e-08
B01	C01	1.72089113746e-06
C09	C10	1.21478608044e-08
A22	D07	2.11552471735e-09
A41	B65	1.28757589275e-06
C13	H01	2.63209225012e-10
D07	E04	3.72212638942e-07
B44	G03	3.67168604847e-06
B04	G11	1.06962873945e-07
E03	F27	1.90584648559e-10
D06	G21	1.05681922246e-08
B03	F25	3.24572660332e-08
B41	G04	1.42993258008e-08
C25	F05	3.85204326736e-08
A22	E05	1.34552794169e-08
B81	C21	1.08042059276e-07
A62	C25	2.01496499896e-07
C04	D03	4.02098389868e-07
B43	H02	1.10044396053e-07
B28	G04	1.31810211122e-09
B23	B32	1.84526995521e-06
C40	Y02	2.14632938256e-07
C08	C14	4.70856188726e-09
E02	G02	1.01040267665e-07
A24	B60	1.0238283055e-08
C25	F22	4.45169874757e-10
F01	G21	4.71626443874e-07
B05	B25	5.58718407193e-07
A45	B60	4.01896455651e-08
D05	F04	7.7810540312e-08
B06	B23	4.92082916832e-08
C40	G10	1.33187782941e-06
A41	G04	6.3932161452e-07
B01	G08	2.62435119928e-07
G05	H05	4.34464802833e-07
A63	F22	2.39930789646e-08
B62	C09	1.4996958003e-06
B43	C23	5.93602419156e-08
A41	E01	5.46408706625e-08
B43	C22	2.29264538302e-09
B68	D04	2.81519121052e-08
C04	D07	1.88900972038e-08
F22	G02	1.87641351077e-08
B05	F17	3.34393609519e-07
B01	H04	2.541515518e-06
E21	G03	1.29104190882e-07
B31	F03	1.30742138605e-07
A21	C02	1.19798763048e-07
D04	D21	5.94993508638e-07
A24	B63	5.18495118622e-08
B31	F42	5.60672756275e-07
B41	C14	3.10559520244e-07
B68	D03	1.607807877e-07
B05	D01	1.40007834682e-06
A62	B60	3.1088252941e-06
F24	H04	4.20874542246e-06
A44	C11	9.28492387653e-08
F04	H02	7.00369798479e-06
C09	E01	1.01039346837e-07
A23	C25	1.15006300118e-06
C21	C23	4.69694550929e-08
D21	F04	4.5506097833e-07
B07	F41	1.17003487174e-08
C13	F21	2.89515034546e-08
D01	G01	4.71568013307e-07
C10	C21	9.59962289513e-08
B01	B61	2.05692440769e-08
E03	G04	1.03714746399e-08
C13	H05	2.55078702184e-08
C07	C12	1.29074557385e-05
E21	Y10	3.06808432705e-07
G01	G12	3.03404968377e-06
F01	Y04	6.37808040255e-07
A42	B25	5.32645670615e-08
B21	E21	1.27000168834e-06
A23	C08	1.99023184985e-06
E03	Y10	4.06925620119e-06
A23	B41	1.43774908151e-06
B24	G02	2.84931065806e-07
C14	Y02	1.0148817046e-07
F23	F28	2.23689621853e-07
B22	C08	8.92850941295e-07
C01	F04	1.07552537866e-06
A41	B26	3.27519196605e-09
F24	G06	2.41442014824e-06
B42	B65	3.16145818938e-07
G10	G11	3.19368725327e-06
D01	G21	5.91843728561e-07
A45	F42	2.80312837669e-07
A21	B21	4.03589808796e-09
B28	F15	2.28391227299e-08
A41	F05	2.40136338574e-08
A63	F04	3.24558307115e-08
A21	Y10	3.51122086909e-06
C22	F02	2.75517949282e-08
B30	G12	2.89515034546e-08
A44	G07	2.05176820131e-07
B06	F28	3.18228662702e-08
B29	G07	1.03162394875e-06
B43	C01	4.30596687478e-07
C06	F28	6.90947355579e-11
D06	G06	1.8853409511e-06
A21	F01	1.02302516637e-08
G03	Y04	1.5486491286e-07
A47	C05	5.91524532293e-08
B28	D10	2.77103939296e-07
B62	F04	8.75076302056e-07
A41	D03	2.07648630088e-07
A21	G05	1.4581729383e-07
C02	F42	1.22553021935e-06
A46	B23	5.30165878598e-07
D06	G09	3.18031503165e-06
A63	B41	8.43042675148e-07
D07	F21	2.87735961321e-07
D21	G04	2.17903564341e-08
G10	Y10	5.89083787983e-05
B44	G09	1.46817991416e-07
D02	G12	2.02382563208e-08
C10	E05	8.75638917912e-08
B24	D01	8.72521734111e-07
A22	B06	3.21174859531e-09
A24	C08	1.2000363742e-06
B41	F41	6.07559329872e-08
A45	B04	0.0
B63	F25	2.90569784212e-08
A45	Y02	5.15619141801e-08
A47	B44	3.92596752451e-06
C22	C40	3.78806108423e-08
A47	Y10	1.23426779583e-05
F26	G21	3.84874975028e-08
B64	E03	7.68435126631e-10
B26	B64	4.4242975068e-08
C07	G05	2.47308349051e-06
F16	G06	8.18248917335e-06
C03	F26	1.37703025122e-08
B03	G05	6.68945421061e-07
B23	B33	5.83560583346e-06
C08	H03	1.27087368073e-06
A24	E06	1.72831706207e-08
B27	F26	7.14625316356e-08
C06	G02	2.8740370687e-08
B26	F02	7.70984793775e-08
B09	B21	2.73228002803e-08
C13	F26	6.27724368167e-08
B28	F03	1.79434146987e-07
A63	F27	8.31452959442e-08
B61	H01	5.68752186581e-07
B63	C14	1.33246549478e-07
A63	B30	2.37644933724e-07
B42	F21	1.31331658636e-07
C23	F41	6.1976502712e-07
B60	D03	1.67356256861e-08
C09	F16	2.77868723155e-06
B60	B67	1.3393087084e-08
A62	G02	2.84990905557e-07
D06	G11	4.79211171234e-08
F01	F04	5.54490463436e-06
B31	F28	1.27366310674e-09
B22	G08	2.81544840356e-10
C30	D01	8.14988908688e-07
B30	G01	2.44800155852e-07
B64	G05	1.60700230627e-06
A22	E03	1.00914595627e-08
B07	F25	8.66363008206e-08
C30	G21	1.10528406153e-08
C13	G06	2.62011570878e-10
A45	C14	1.00914595627e-08
B01	B03	2.94815077777e-06
B62	G05	6.16250492591e-06
B22	Y04	3.86881242015e-08
F26	G12	0.0
C05	D21	7.06422309262e-08
B01	F42	1.99596244947e-08
D01	G11	1.05059904503e-06
A21	F27	4.1328236847e-09
B41	G07	4.65003789442e-06
B24	F25	1.99824499237e-08
C10	H04	2.07995153768e-06
G04	H02	4.48995716573e-06
A45	D07	1.43831833661e-07
C05	G09	4.54950981533e-08
B66	B68	2.47437095555e-09
A45	F05	1.68432466601e-09
B23	C04	6.20536578261e-07
E01	F04	5.40073322623e-08
F21	H05	1.99897804404e-06
B06	C01	1.01817996467e-08
B23	F01	9.8715949422e-07
B33	B64	1.17441868419e-07
A61	C05	2.11063804874e-06
A45	E21	4.15698928578e-08
F41	F42	8.78838835194e-08
C04	E06	7.63351060238e-08
C14	D06	2.70549890465e-07
H01	H05	3.44767671921e-06
B21	B62	1.50309043844e-08
C21	F03	3.95205044289e-08
B63	C09	3.46344369055e-09
G01	Y02	2.56580073075e-06
A61	F01	5.82188879699e-06
A63	B08	4.87633887675e-07
B81	E04	9.3557380852e-08
B01	G03	5.20093511872e-06
B61	C40	1.70958286144e-06
A61	B24	8.32044655564e-06
B81	C23	4.80702412275e-06
B41	F05	9.35176527427e-08
B42	H03	2.41289132131e-06
C09	D21	1.45922486587e-06
B61	E03	1.61785789621e-07
B31	C12	3.92756936522e-08
C07	C09	5.24219964994e-06
F16	G02	5.0271918539e-07
B31	H01	1.06255093832e-09
A47	A62	2.32848860595e-07
E06	F28	2.12817124166e-07
B08	G02	1.45624280477e-06
C08	F02	2.27629773968e-07
B64	H05	2.28571434463e-07
B32	F15	1.16407243923e-07
B06	H01	1.54116873302e-06
E01	F22	1.15626884432e-09
A46	B04	3.85293764467e-09
B22	H02	7.86213376998e-08
F05	F26	9.4648984593e-08
B61	D06	9.60175081349e-08
A61	B62	1.59023274396e-06
D21	G12	1.70066413477e-07
A01	D06	1.4492098854e-06
B32	B82	5.94975800497e-07
C22	F04	3.83362469307e-07
A46	F03	7.39724462597e-11
F17	F27	6.33067052997e-07
B65	E04	4.09156583323e-06
A23	B68	2.17903564341e-08
B25	F17	6.44791421788e-09
F15	F24	5.22084781643e-07
A42	C07	1.5972042293e-08
A62	B03	5.39623138372e-08
C14	G10	7.53822480296e-08
B06	D07	6.90737956509e-09
B26	D21	1.38008125631e-07
D21	G10	1.3133094616e-08
B06	F23	1.06568107731e-10
C10	G08	5.37743532686e-08
B09	B22	1.86052571654e-09
B06	Y10	4.1024040012e-07
B30	B43	2.71314451284e-09
A24	D04	7.52523768879e-10
G02	H02	8.35064131467e-08
B30	Y04	1.96914539773e-08
B65	F02	3.55104729746e-08
B41	F02	6.34145005459e-09
B08	Y04	7.04745127544e-08
C01	F21	9.17575074586e-07
B26	B33	8.09697314074e-07
C11	E01	4.63507862768e-07
B21	D02	4.82670018826e-07
C02	F27	1.37444113626e-07
G02	G12	2.6576178241e-06
A21	G09	5.24792062179e-08
B08	D02	2.29437745044e-08
B26	C40	3.85307578484e-08
C05	F23	7.75228794371e-08
F21	Y04	4.26142631234e-08
A41	B27	2.82398469432e-08
B04	F23	2.79361811627e-08
B41	F16	2.80736615449e-07
G08	Y02	9.19652983522e-06
G21	Y02	2.62319260742e-07
B05	C10	3.1689089503e-09
C21	F21	3.38467599362e-07
C21	H01	2.45804776801e-07
B44	H04	8.52062335753e-07
E05	F27	1.14808428229e-07
B25	B62	1.95994170918e-06
B81	C13	9.72210252221e-08
A43	C09	1.39137525132e-06
B61	E01	7.32887648473e-08
B29	G03	2.84807770134e-06
B05	C30	7.11640088041e-07
B05	D02	7.40782302674e-07
C06	F01	2.7255110206e-09
C22	C25	1.70798326071e-08
A47	B31	3.90014754211e-06
B09	B60	3.13888988625e-08
D10	G09	1.65705038087e-07
C23	F03	2.89202142203e-08
A42	B30	7.67436848026e-07
F28	G01	7.43528654415e-07
B29	G21	7.76938299116e-08
A62	E06	2.91843742119e-08
D04	F16	3.7862367896e-07
C14	G05	4.86394223404e-08
C11	F24	9.49786194663e-09
A21	A45	2.01015732082e-08
A61	B22	1.20590819467e-06
C07	F42	4.06829214161e-07
B26	F04	1.12593011782e-07
B06	G02	4.06109614718e-09
D06	Y02	7.09440112424e-07
B04	B27	1.30742138605e-08
F02	F27	4.28729442049e-07
D06	H05	3.69523112568e-07
B24	H05	1.43668600075e-06
A45	G01	3.37495658564e-07
B01	F04	1.15988470395e-07
B03	C09	4.82636893908e-07
B03	B27	3.06488321564e-07
F15	F27	1.35314537427e-08
B66	G07	2.26072177612e-09
A41	D07	2.85776904567e-08
A22	B82	8.39560982729e-10
B08	C25	3.90024296232e-09
D21	F22	7.97026634405e-07
H02	H04	1.78247652088e-05
D05	E01	1.66928428239e-06
B43	D10	5.09861655653e-09
C11	D02	6.52485357456e-08
B61	C01	2.43272171831e-08
A42	B32	8.27916365401e-09
B25	F16	9.73580496576e-07
B61	B66	1.09030157069e-08
B05	B06	1.92052074606e-07
D02	G08	1.57389343786e-09
B21	C09	1.40283041484e-07
B64	B81	6.26966986587e-07
B82	E05	4.21711158536e-08
A45	C22	6.39116543403e-09
A45	Y04	7.02083280886e-08
B44	F28	6.65213574559e-08
C40	D02	0.0
A22	G10	4.651099094e-08
A62	B22	1.9961720818e-06
C22	G12	2.25437953709e-07
C08	D06	7.79777392145e-08
B33	G05	8.0168722454e-05
A01	C22	9.00146310665e-07
B25	B64	3.19903438477e-07
F02	F23	2.23685409691e-06
B02	G21	7.39724462597e-11
B30	C23	5.84001669983e-08
A45	F16	1.19086740809e-08
B07	D06	1.64628495033e-07
A61	B06	1.17654564895e-05
A23	C12	1.31123283854e-06
B06	D10	0.0
B29	E02	1.55531917219e-07
C23	Y02	1.47692170139e-06
B07	C10	1.66396946554e-07
D21	E02	4.24847070388e-07
F26	G04	1.00915373682e-07
B32	H05	1.33684767143e-06
A47	F01	3.03801927319e-07
